"","x"
"(Intercept)",-6.02290399188064
"MD",-0.366407964059363
"IOP",0.0683903810793535
"PSD",0.770599405540927
"MDvel",-2.44787027298092
"IOPvel",0.328175501560192
"PSDvel",3.13167726627123
"MDacc",3.79943191023237
"IOPacc",0
"PSDacc",0
"Baseline_MD",0.391746894892245
"Baseline_IOP",-0.0424217217619986
"Baseline_PSD",-0.660796893185562
"Age",4.33298247554684e-05
"Race",0.244798117245253
"Sex",0.340226665421851
